order_item_id,order_id,client_id,sale_date,product_id
1,1,543,2024-09-11,2
2,2,287,2024-09-05,3
3,3,968,2024-12-13,2
4,4,544,2024-09-01,1
5,5,150,2025-06-28,18
6,6,206,2025-07-14,5
7,7,267,2024-12-19,7
8,8,801,2025-04-23,3
9,9,927,2025-04-26,3
10,10,486,2024-12-27,15
11,11,148,2025-02-26,12
12,12,52,2024-09-24,4
13,13,807,2025-01-26,11
14,14,103,2024-11-10,20
15,15,885,2025-01-24,12
16,16,498,2024-08-07,15
17,17,847,2024-10-01,14
18,18,331,2025-04-01,7
19,19,371,2025-05-03,13
20,20,24,2025-01-25,20
21,21,434,2024-08-30,10
22,22,3,2024-10-10,6
23,23,161,2024-09-07,18
24,24,63,2024-08-14,20
25,25,801,2024-09-25,7
26,26,342,2025-01-04,8
27,27,484,2024-08-29,8
28,28,323,2024-10-12,1
29,29,324,2024-09-08,3
30,30,418,2025-03-31,6
31,31,745,2024-09-13,19
32,32,527,2024-10-20,9
33,33,529,2025-03-30,8
34,34,923,2025-01-27,17
35,35,271,2025-07-07,15
36,36,271,2025-05-26,2
37,37,252,2025-05-31,2
38,38,266,2025-03-11,18
39,39,768,2025-04-10,10
40,40,278,2024-11-01,3
41,41,110,2025-03-16,16
42,42,762,2024-10-03,20
43,43,896,2024-09-23,10
44,44,132,2025-05-26,14
45,45,924,2024-09-25,7
46,46,252,2024-12-29,17
47,47,840,2024-10-24,17
48,48,889,2025-02-22,5
49,49,307,2025-03-19,11
50,50,122,2024-12-05,16
51,51,881,2024-10-12,12
52,52,761,2025-01-12,16
53,53,818,2025-01-26,4
54,54,452,2025-07-05,14
55,55,135,2024-12-04,14
56,56,826,2025-02-24,2
57,57,589,2024-08-27,4
58,58,18,2025-03-30,17
59,59,92,2024-10-27,11
60,60,46,2025-04-17,1
61,61,136,2025-05-19,7
62,62,363,2025-04-28,2
63,63,398,2025-01-10,2
64,64,177,2025-02-06,9
65,65,702,2025-04-10,11
66,66,993,2024-10-12,19
67,67,884,2024-09-24,3
68,68,670,2024-12-31,12
69,69,437,2024-12-22,18
70,70,77,2024-08-02,8
71,71,979,2025-07-06,5
72,72,814,2024-08-12,20
73,73,457,2024-10-18,16
74,74,498,2025-02-06,14
75,75,254,2025-01-24,20
76,76,728,2024-12-03,13
77,77,225,2025-05-28,8
78,78,462,2024-09-25,9
79,79,948,2024-10-10,20
80,80,349,2025-04-11,10
81,81,91,2024-12-14,5
82,82,50,2024-10-28,14
83,83,641,2025-01-08,10
84,84,904,2025-06-21,8
85,85,578,2025-03-03,19
86,86,662,2025-04-01,8
87,87,375,2024-09-11,6
88,88,923,2024-11-17,12
89,89,53,2024-09-11,14
90,90,172,2024-10-02,10
91,91,943,2025-07-18,11
92,92,818,2025-03-22,18
93,93,750,2025-06-19,6
94,94,703,2024-10-07,3
95,95,972,2025-01-19,8
96,96,803,2024-10-28,18
97,97,121,2025-05-18,5
98,98,514,2025-02-21,8
99,99,887,2024-12-07,8
100,100,147,2025-02-14,20
101,101,506,2025-02-08,10
102,102,510,2025-07-13,7
103,103,529,2025-05-07,5
104,104,237,2024-10-27,14
105,105,740,2024-12-30,15
106,106,188,2024-10-27,16
107,107,44,2024-12-28,19
108,108,623,2024-12-23,9
109,109,561,2025-07-09,4
110,110,768,2024-11-08,2
111,111,261,2024-08-12,2
112,112,990,2024-09-15,17
113,113,112,2025-07-01,7
114,114,871,2025-04-07,6
115,115,593,2024-09-04,11
116,116,148,2025-01-13,11
117,117,446,2025-01-30,14
118,118,283,2024-10-08,6
